Subject,Accuracy,Motion Direction,Movement Type
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,0,Vertical,Cross
1,0,Vertical,Cross
1,1,Vertical,Cross
1,0,Horizontal,Cross
1,1,Vertical,Cross
1,0,Vertical,Cross
1,0,Horizontal,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,0,Horizontal,Cross
1,0,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,0,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,0,Horizontal,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,1,Vertical,Cross
1,0,Horizontal,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,0,Horizontal,Cross
1,1,Vertical,Cross
1,1,Horizontal,Cross
1,1,Vertical,Cross
1,0,Horizontal,Cross
2,1,Horizontal,Cross
2,0,Horizontal,Cross
2,1,Vertical,Cross
2,1,Vertical,Cross
2,0,Vertical,Cross
2,1,Vertical,Cross
2,1,Horizontal,Cross
2,0,Horizontal,Cross
2,0,Horizontal,Cross
2,0,Vertical,Cross
2,0,Horizontal,Cross
2,0,Horizontal,Cross
2,1,Vertical,Cross
2,1,Horizontal,Cross
2,0,Vertical,Cross
2,1,Vertical,Cross
2,0,Horizontal,Cross
2,0,Vertical,Cross
2,0,Vertical,Cross
2,0,Horizontal,Cross
