Subject,Accuracy,Cross-Return,Horizontal-Vertical
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,0,Cross,Vertical
1,0,Cross,Vertical
1,1,Cross,Vertical
1,0,Cross,Horizontal
1,1,Cross,Vertical
1,0,Cross,Vertical
1,0,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,0,Cross,Horizontal
1,0,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,0,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,0,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Vertical
1,0,Cross,Horizontal
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,0,Cross,Horizontal
1,1,Cross,Vertical
1,1,Cross,Horizontal
1,1,Cross,Vertical
1,0,Cross,Horizontal
1,0,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,0,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,0,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
1,1,Return,Horizontal
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Vertical
1,1,Return,Horizontal
2,1,Cross,Horizontal
2,0,Cross,Horizontal
2,1,Cross,Vertical
2,1,Cross,Vertical
2,0,Cross,Vertical
2,1,Cross,Vertical
2,1,Cross,Horizontal
2,0,Cross,Horizontal
2,0,Cross,Horizontal
2,0,Cross,Vertical
2,0,Cross,Horizontal
2,0,Cross,Horizontal
2,1,Cross,Vertical
2,1,Cross,Horizontal
2,0,Cross,Vertical
2,1,Cross,Vertical
2,0,Cross,Horizontal
2,0,Cross,Vertical
2,0,Cross,Vertical
2,0,Cross,Horizontal
2,0,Cross,Vertical
2,0,Cross,Horizontal
2,0,Cross,Horizontal
2,1,Cross,Horizontal
2,0,Cross,Vertical
2,1,Cross,Horizontal
2,0,Cross,Vertical
2,1,Cross,Vertical
2,0,Cross,Vertical
2,1,Cross,Horizontal
2,0,Cross,Horizontal
2,0,Cross,Horizontal
2,1,Cross,Vertical
2,1,Cross,Vertical
2,0,Cross,Horizontal
2,0,Cross,Vertical
2,1,Cross,Vertical
2,1,Cross,Vertical
