SubID,Accuracy,Condition
1,0,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,0,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,0,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,0,Within
1,0,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,1,Within
1,0,Within
1,1,Within
1,1,Within
1,1,Within
33,1,Between
33,0,Between
33,1,Between
33,1,Between
33,0,Between
33,0,Between
33,1,Between
33,1,Between
33,0,Between
33,1,Between
33,1,Between
33,1,Between
33,0,Between
33,1,Between
33,1,Between
33,1,Between
33,0,Between
33,1,Between
33,1,Between
33,1,Between
33,1,Between
33,0,Between
33,1,Between
33,1,Between
33,1,Between
33,0,Between
33,1,Between
33,1,Between
33,1,Between
33,0,Between
33,1,Between
33,1,Between
2,1,Within
2,1,Within
2,1,Within
2,0,Within
2,1,Within
2,0,Within
2,0,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,0,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,0,Within
2,1,Within
2,1,Within
34,0,Between
34,0,Between
34,0,Between
34,0,Between
34,1,Between
34,1,Between
34,1,Between
34,0,Between
34,0,Between
34,1,Between
34,1,Between
34,0,Between
34,1,Between
34,0,Between
34,0,Between
34,1,Between
34,1,Between
34,1,Between
34,1,Between
34,1,Between
34,1,Between
34,0,Between
34,1,Between
34,0,Between
34,1,Between
34,1,Between
34,1,Between
34,1,Between
34,0,Between
34,1,Between
34,1,Between
34,1,Between
3,0,Within
3,0,Within
3,0,Within
3,1,Within
3,1,Within
3,0,Within
3,0,Within
3,0,Within
3,0,Within
3,1,Within
3,0,Within
3,1,Within
3,0,Within
3,1,Within
3,0,Within
3,0,Within
3,1,Within
3,0,Within
3,0,Within
3,0,Within
3,0,Within
3,1,Within
3,1,Within
3,0,Within
3,1,Within
3,0,Within
3,1,Within
3,1,Within
3,0,Within
3,1,Within
3,0,Within
3,0,Within
35,1,Between
35,0,Between
35,1,Between
35,1,Between
35,0,Between
35,1,Between
35,0,Between
35,0,Between
35,0,Between
35,1,Between
35,1,Between
35,0,Between
35,1,Between
35,0,Between
35,1,Between
35,1,Between
35,0,Between
35,0,Between
35,0,Between
35,1,Between
35,1,Between
35,0,Between
35,1,Between
35,1,Between
35,1,Between
35,1,Between
35,1,Between
35,0,Between
35,1,Between
35,1,Between
35,1,Between
35,1,Between
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,0,Within
4,1,Within
4,1,Within
4,0,Within
4,1,Within
4,0,Within
4,0,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,0,Within
4,1,Within
4,0,Within
4,0,Within
4,0,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,0,Within
36,0,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,0,Between
36,1,Between
36,0,Between
36,1,Between
36,1,Between
36,1,Between
36,0,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,1,Between
36,0,Between
36,1,Between
36,1,Between
36,0,Between
36,1,Between
36,0,Between
36,0,Between
36,0,Between
36,0,Between
5,0,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,0,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,0,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,0,Within
5,0,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,0,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,0,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,1,Between
37,0,Between
37,0,Between
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,1,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,0,Within
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,0,Within
6,0,Within
6,1,Within
6,0,Within
6,1,Within
6,1,Within
38,1,Between
38,0,Between
38,0,Between
38,0,Between
38,1,Between
38,1,Between
38,1,Between
38,1,Between
38,0,Between
38,1,Between
38,0,Between
38,1,Between
38,1,Between
38,0,Between
38,1,Between
38,0,Between
38,0,Between
38,0,Between
38,1,Between
38,1,Between
38,0,Between
38,1,Between
38,0,Between
38,1,Between
38,1,Between
38,0,Between
38,1,Between
38,1,Between
38,0,Between
38,0,Between
38,0,Between
38,0,Between
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,0,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
39,1,Between
39,1,Between
39,0,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,0,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,0,Between
39,1,Between
39,0,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,1,Between
39,0,Between
39,1,Between
39,1,Between
8,1,Within
8,1,Within
8,0,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,0,Within
8,1,Within
8,1,Within
8,0,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,0,Within
8,1,Within
8,1,Within
8,0,Within
8,0,Within
8,1,Within
8,1,Within
8,0,Within
8,1,Within
8,0,Within
40,0,Between
40,1,Between
40,0,Between
40,1,Between
40,0,Between
40,1,Between
40,0,Between
40,1,Between
40,1,Between
40,1,Between
40,1,Between
40,0,Between
40,1,Between
40,1,Between
40,1,Between
40,0,Between
40,1,Between
40,1,Between
40,0,Between
40,1,Between
40,0,Between
40,1,Between
40,1,Between
40,1,Between
40,1,Between
40,1,Between
40,0,Between
40,1,Between
40,1,Between
40,1,Between
40,1,Between
40,1,Between
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,0,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,0,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Within
41,1,Between
41,1,Between
41,1,Between
41,1,Between
41,0,Between
41,0,Between
41,1,Between
41,1,Between
41,1,Between
41,0,Between
41,1,Between
41,1,Between
41,1,Between
41,0,Between
41,1,Between
41,1,Between
41,1,Between
41,1,Between
41,1,Between
41,0,Between
41,1,Between
41,1,Between
41,1,Between
41,1,Between
41,1,Between
41,1,Between
41,0,Between
41,1,Between
41,1,Between
41,0,Between
41,1,Between
41,1,Between
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,0,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,0,Within
10,1,Within
10,1,Within
10,0,Within
10,1,Within
10,0,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,0,Between
42,1,Between
42,0,Between
42,0,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,1,Between
42,0,Between
42,1,Between
42,1,Between
42,1,Between
42,0,Between
42,0,Between
42,1,Between
42,1,Between
42,1,Between
42,0,Between
42,1,Between
11,0,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,0,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,0,Within
11,0,Within
11,0,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,0,Between
43,1,Between
43,0,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,0,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
43,0,Between
43,1,Between
43,1,Between
43,1,Between
43,0,Between
43,1,Between
43,1,Between
43,1,Between
43,1,Between
12,0,Within
12,0,Within
12,1,Within
12,0,Within
12,0,Within
12,1,Within
12,1,Within
12,1,Within
12,1,Within
12,0,Within
12,1,Within
12,0,Within
12,1,Within
12,1,Within
12,1,Within
12,1,Within
12,0,Within
12,1,Within
12,0,Within
12,1,Within
12,0,Within
12,1,Within
12,1,Within
12,1,Within
12,1,Within
12,0,Within
12,1,Within
12,1,Within
12,0,Within
12,1,Within
12,1,Within
12,0,Within
44,0,Between
44,1,Between
44,1,Between
44,0,Between
44,1,Between
44,1,Between
44,1,Between
44,1,Between
44,0,Between
44,1,Between
44,1,Between
44,1,Between
44,1,Between
44,1,Between
44,1,Between
44,0,Between
44,1,Between
44,1,Between
44,1,Between
44,0,Between
44,1,Between
44,1,Between
44,0,Between
44,1,Between
44,1,Between
44,1,Between
44,0,Between
44,0,Between
44,1,Between
44,0,Between
44,1,Between
44,1,Between
13,1,Within
13,0,Within
13,0,Within
13,1,Within
13,1,Within
13,1,Within
13,0,Within
13,0,Within
13,0,Within
13,1,Within
13,1,Within
13,1,Within
13,1,Within
13,1,Within
13,1,Within
13,0,Within
13,1,Within
13,0,Within
13,0,Within
13,1,Within
13,1,Within
13,1,Within
13,0,Within
13,0,Within
13,0,Within
13,0,Within
13,1,Within
13,0,Within
13,1,Within
13,1,Within
13,1,Within
13,1,Within
45,0,Between
45,1,Between
45,0,Between
45,0,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,0,Between
45,0,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,1,Between
45,0,Between
45,1,Between
45,0,Between
45,1,Between
45,1,Between
45,0,Between
45,0,Between
45,1,Between
45,1,Between
45,1,Between
45,0,Between
45,0,Between
45,0,Between
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,0,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,0,Within
14,0,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
14,1,Within
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
46,1,Between
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,0,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,1,Within
15,0,Within
15,1,Within
15,0,Within
15,1,Within
15,1,Within
47,0,Between
47,0,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
47,1,Between
16,0,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,0,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
16,1,Within
48,1,Between
48,1,Between
48,0,Between
48,1,Between
48,0,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,0,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,0,Between
48,0,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,1,Between
48,0,Between
48,1,Between
48,0,Between
48,1,Between
17,0,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,0,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,0,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
17,1,Within
49,1,Between
49,0,Between
49,0,Between
49,1,Between
49,1,Between
49,0,Between
49,1,Between
49,0,Between
49,1,Between
49,0,Between
49,0,Between
49,1,Between
49,1,Between
49,1,Between
49,0,Between
49,0,Between
49,1,Between
49,1,Between
49,1,Between
49,0,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,1,Between
49,0,Between
18,0,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,0,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
18,1,Within
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,0,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,0,Between
50,1,Between
50,0,Between
50,1,Between
50,0,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
50,1,Between
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,0,Within
19,1,Within
19,1,Within
19,0,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,0,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,0,Within
19,1,Within
19,1,Within
19,1,Within
19,1,Within
19,0,Within
19,1,Within
19,1,Within
19,1,Within
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,0,Between
51,0,Between
51,0,Between
51,0,Between
51,0,Between
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,0,Between
51,1,Between
51,1,Between
51,0,Between
51,1,Between
51,1,Between
51,0,Between
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,1,Between
51,0,Between
51,1,Between
51,1,Between
51,1,Between
20,1,Within
20,1,Within
20,0,Within
20,0,Within
20,0,Within
20,1,Within
20,1,Within
20,1,Within
20,0,Within
20,0,Within
20,0,Within
20,1,Within
20,1,Within
20,0,Within
20,1,Within
20,0,Within
20,0,Within
20,0,Within
20,0,Within
20,1,Within
20,0,Within
20,1,Within
20,1,Within
20,0,Within
20,0,Within
20,0,Within
20,0,Within
20,1,Within
20,0,Within
20,1,Within
20,1,Within
20,0,Within
52,1,Between
52,0,Between
52,1,Between
52,0,Between
52,0,Between
52,0,Between
52,0,Between
52,1,Between
52,0,Between
52,1,Between
52,1,Between
52,0,Between
52,0,Between
52,1,Between
52,1,Between
52,0,Between
52,1,Between
52,0,Between
52,0,Between
52,1,Between
52,0,Between
52,1,Between
52,0,Between
52,1,Between
52,0,Between
52,0,Between
52,1,Between
52,1,Between
52,1,Between
52,0,Between
52,0,Between
52,1,Between
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
21,1,Within
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,0,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,0,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,0,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
53,1,Between
22,1,Within
22,1,Within
22,0,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,0,Within
22,1,Within
22,1,Within
22,0,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
22,1,Within
54,1,Between
54,1,Between
54,0,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,0,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,0,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
54,1,Between
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
23,1,Within
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,0,Between
55,1,Between
55,1,Between
55,0,Between
55,1,Between
55,1,Between
55,0,Between
55,0,Between
55,1,Between
55,1,Between
55,0,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
55,0,Between
55,1,Between
55,1,Between
55,1,Between
55,1,Between
24,0,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,0,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,0,Within
24,1,Within
24,1,Within
24,1,Within
24,1,Within
24,0,Within
24,1,Within
24,1,Within
24,1,Within
56,0,Between
56,0,Between
56,0,Between
56,1,Between
56,1,Between
56,1,Between
56,0,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,0,Between
56,0,Between
56,1,Between
56,1,Between
56,1,Between
56,0,Between
56,0,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
56,1,Between
25,0,Within
25,1,Within
25,0,Within
25,1,Within
25,1,Within
25,1,Within
25,0,Within
25,1,Within
25,1,Within
25,1,Within
25,1,Within
25,1,Within
25,0,Within
25,1,Within
25,1,Within
25,0,Within
25,0,Within
25,1,Within
25,1,Within
25,0,Within
25,0,Within
25,0,Within
25,1,Within
25,0,Within
25,0,Within
25,0,Within
25,0,Within
25,0,Within
25,0,Within
25,0,Within
25,1,Within
25,1,Within
57,0,Between
57,0,Between
57,0,Between
57,1,Between
57,1,Between
57,0,Between
57,1,Between
57,1,Between
57,1,Between
57,1,Between
57,1,Between
57,0,Between
57,0,Between
57,1,Between
57,0,Between
57,1,Between
57,0,Between
57,1,Between
57,0,Between
57,1,Between
57,1,Between
57,0,Between
57,0,Between
57,1,Between
57,1,Between
57,0,Between
57,0,Between
57,0,Between
57,0,Between
57,0,Between
57,0,Between
57,1,Between
26,1,Within
26,0,Within
26,0,Within
26,1,Within
26,1,Within
26,1,Within
26,0,Within
26,1,Within
26,1,Within
26,0,Within
26,0,Within
26,0,Within
26,0,Within
26,1,Within
26,1,Within
26,0,Within
26,1,Within
26,1,Within
26,0,Within
26,1,Within
26,1,Within
26,1,Within
26,1,Within
26,0,Within
26,1,Within
26,1,Within
26,1,Within
26,1,Within
26,1,Within
26,1,Within
26,1,Within
26,1,Within
58,1,Between
58,1,Between
58,1,Between
58,0,Between
58,1,Between
58,0,Between
58,1,Between
58,0,Between
58,1,Between
58,1,Between
58,1,Between
58,0,Between
58,1,Between
58,0,Between
