Subject,Accuracy,Condition
S1,0,Within
S1,1,Across
S1,0,Across
S1,1,Across
S1,1,Within
S1,1,Across
S1,1,Within
S1,0,Across
S1,1,Within
S1,1,Within
S1,0,Within
S1,1,Within
S1,1,Within
S1,0,Across
S1,1,Within
S1,1,Within
S1,1,Across
S1,1,Within
S1,1,Across
S1,0,Across
S1,0,Within
S1,1,Across
S1,1,Within
S1,1,Across
S1,1,Across
S1,0,Across
S1,1,Within
S1,1,Within
S1,1,Within
S1,1,Across
S1,1,Across
S1,1,Within
S1,0,Within
S1,1,Across
S1,0,Across
S1,0,Within
S1,1,Across
S1,1,Across
S1,1,Across
S1,1,Across
S1,0,Across
S1,1,Across
S1,1,Within
S1,1,Across
S1,1,Across
S1,1,Within
S1,1,Within
S1,0,Across
S1,1,Within
S1,1,Across
S1,1,Within
S1,1,Within
S1,1,Within
S1,1,Across
S1,1,Within
S1,1,Within
S1,0,Within
S1,1,Across
S1,1,Within
S1,0,Across
S1,1,Within
S1,1,Across
S1,1,Within
S1,1,Across
2,0,Across
2,1,Within
2,1,Within
2,0,Across
2,0,Across
2,1,Within
2,0,Within
2,0,Across
2,1,Within
2,1,Across
2,1,Across
2,1,Across
2,0,Within
2,0,Across
2,0,Within
2,1,Within
2,0,Across
2,1,Within
2,1,Across
2,1,Across
2,1,Within
2,0,Across
2,1,Across
2,1,Within
2,0,Across
2,1,Within
2,0,Across
2,1,Within
2,1,Within
2,0,Within
2,1,Across
2,1,Within
2,1,Within
2,1,Across
2,1,Within
2,1,Across
2,1,Within
2,1,Across
2,1,Across
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,1,Across
2,1,Within
2,1,Within
2,1,Within
2,1,Within
2,0,Across
2,1,Across
2,1,Within
2,0,Across
2,1,Across
2,1,Across
2,1,Across
2,1,Across
2,0,Across
2,1,Within
2,1,Across
2,0,Within
2,1,Within
2,1,Within
2,1,Across
2,1,Across
3,0,Within
3,1,Across
3,0,Within
3,0,Within
3,0,Across
3,1,Across
3,1,Across
3,0,Across
3,1,Within
3,1,Across
3,1,Within
3,0,Across
3,0,Within
3,0,Across
3,0,Within
3,0,Within
3,0,Within
3,1,Within
3,0,Within
3,1,Within
3,0,Within
3,0,Across
3,1,Within
3,1,Across
3,1,Across
3,0,Within
3,0,Within
3,1,Within
3,0,Across
3,1,Across
3,0,Within
3,0,Within
3,0,Across
3,1,Across
3,1,Across
3,0,Within
3,0,Across
3,0,Across
3,0,Across
3,1,Across
3,0,Within
3,1,Within
3,1,Within
3,0,Within
3,1,Within
3,0,Within
3,1,Within
3,1,Across
3,0,Across
3,1,Across
3,1,Across
3,1,Within
3,1,Across
3,0,Within
3,1,Across
3,1,Across
3,0,Across
3,1,Across
3,1,Across
3,1,Within
3,1,Across
3,1,Across
3,0,Within
3,0,Within
4,0,Across
4,1,Across
4,1,Across
4,1,Across
4,1,Across
4,1,Across
4,0,Across
4,1,Within
4,1,Across
4,0,Across
4,1,Across
4,1,Within
4,1,Across
4,1,Within
4,1,Within
4,1,Across
4,0,Within
4,0,Across
4,1,Within
4,1,Across
4,1,Within
4,0,Within
4,1,Across
4,1,Within
4,0,Within
4,1,Across
4,0,Within
4,1,Across
4,1,Within
4,1,Across
4,1,Within
4,1,Across
4,1,Across
4,1,Across
4,1,Across
4,1,Within
4,1,Across
4,0,Across
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Across
4,0,Within
4,1,Across
4,0,Across
4,1,Across
4,1,Within
4,0,Across
4,0,Within
4,0,Within
4,0,Across
4,0,Within
4,0,Across
4,1,Within
4,1,Within
4,0,Across
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,1,Within
4,0,Within
5,0,Within
5,1,Within
5,1,Within
5,1,Across
5,1,Within
5,1,Within
5,1,Within
5,0,Within
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Across
5,1,Within
5,1,Across
5,1,Across
5,1,Within
5,0,Across
5,1,Across
5,1,Across
5,1,Within
5,1,Within
5,1,Across
5,1,Across
5,1,Across
5,1,Within
5,1,Within
5,1,Across
5,1,Within
5,1,Across
5,1,Across
5,1,Across
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,1,Within
5,0,Within
5,1,Within
5,0,Across
5,1,Across
5,1,Within
5,1,Within
5,1,Within
5,1,Across
5,1,Across
5,0,Within
5,0,Within
5,1,Within
5,1,Within
5,1,Across
5,1,Within
5,1,Across
5,1,Within
5,1,Across
5,1,Within
5,0,Across
5,0,Across
5,1,Within
6,1,Across
6,0,Within
6,0,Across
6,1,Within
6,0,Across
6,0,Within
6,1,Within
6,0,Across
6,1,Across
6,0,Within
6,1,Within
6,1,Across
6,0,Within
6,1,Within
6,1,Across
6,1,Across
6,1,Within
6,0,Across
6,1,Within
6,1,Across
6,0,Across
6,1,Across
6,1,Across
6,0,Across
6,0,Within
6,1,Within
6,1,Across
6,0,Across
6,0,Within
6,0,Within
6,0,Within
6,0,Across
6,0,Across
6,1,Across
6,1,Within
6,1,Across
6,0,Across
6,0,Within
6,1,Within
6,1,Across
6,0,Across
6,1,Across
6,1,Across
6,0,Within
6,0,Across
6,1,Within
6,1,Across
6,0,Within
6,1,Across
6,1,Within
6,1,Within
6,0,Within
6,1,Within
6,0,Within
6,0,Within
6,0,Within
6,0,Across
6,1,Within
6,0,Within
6,0,Across
6,0,Across
6,1,Within
6,0,Across
6,1,Within
7,1,Within
7,1,Across
7,1,Within
7,1,Across
7,0,Across
7,1,Across
7,1,Across
7,1,Across
7,1,Across
7,1,Within
7,1,Across
7,1,Across
7,1,Across
7,0,Across
7,1,Within
7,1,Across
7,1,Across
7,1,Within
7,1,Across
7,1,Across
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Across
7,1,Within
7,1,Across
7,1,Within
7,1,Within
7,1,Within
7,1,Across
7,1,Across
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,1,Within
7,0,Across
7,1,Within
7,1,Within
7,1,Within
7,1,Across
7,0,Across
7,1,Across
7,1,Across
7,1,Across
7,1,Within
7,1,Within
7,1,Within
7,0,Within
7,1,Within
7,1,Within
7,1,Across
7,1,Within
7,1,Across
7,1,Across
7,1,Across
7,0,Across
7,1,Across
7,1,Within
7,1,Across
7,1,Within
7,1,Within
8,1,Within
8,1,Within
8,0,Within
8,0,Across
8,1,Across
8,0,Across
8,1,Within
8,1,Across
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,1,Within
8,0,Across
8,1,Across
8,0,Across
8,0,Within
8,1,Across
8,1,Across
8,1,Across
8,1,Across
8,1,Within
8,1,Within
8,0,Within
8,1,Within
8,0,Across
8,1,Within
8,1,Within
8,1,Within
8,1,Across
8,1,Within
8,1,Within
8,1,Across
8,1,Across
8,1,Within
8,1,Within
8,0,Across
8,1,Across
8,0,Within
8,1,Within
8,1,Across
8,0,Across
8,1,Across
8,0,Across
8,1,Within
8,0,Within
8,1,Across
8,1,Across
8,0,Within
8,1,Within
8,1,Within
8,1,Across
8,1,Across
8,1,Across
8,0,Across
8,0,Within
8,1,Across
8,1,Within
8,1,Across
8,0,Within
8,1,Across
8,1,Across
8,1,Across
9,1,Within
9,1,Across
9,1,Within
9,1,Within
9,1,Across
9,1,Within
9,1,Across
9,0,Within
9,1,Within
9,1,Across
9,1,Within
9,1,Within
9,0,Across
9,1,Within
9,1,Within
9,1,Within
9,0,Across
9,1,Across
9,1,Across
9,1,Across
9,0,Across
9,1,Within
9,0,Within
9,1,Within
9,1,Within
9,1,Across
9,1,Across
9,1,Within
9,1,Within
9,1,Across
9,1,Within
9,0,Across
9,1,Across
9,1,Within
9,1,Across
9,1,Within
9,1,Across
9,1,Within
9,1,Within
9,1,Across
9,1,Across
9,1,Within
9,0,Across
9,1,Across
9,1,Across
9,1,Across
9,1,Across
9,1,Across
9,1,Within
9,1,Across
9,0,Across
9,1,Within
9,1,Within
9,1,Within
9,1,Within
9,1,Across
9,1,Within
9,1,Across
9,0,Across
9,1,Across
9,1,Across
9,1,Within
9,1,Within
9,1,Within
10,1,Across
10,1,Across
10,1,Within
10,1,Across
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Across
10,0,Within
10,1,Within
10,1,Within
10,1,Across
10,1,Across
10,1,Across
10,1,Across
10,1,Within
10,1,Across
10,1,Across
10,0,Across
10,1,Across
10,1,Within
10,0,Across
10,0,Across
10,1,Across
10,1,Across
10,1,Across
10,1,Within
10,1,Within
10,1,Across
10,1,Within
10,1,Within
10,0,Within
10,1,Across
10,1,Within
10,1,Within
10,1,Across
10,0,Within
10,1,Across
10,1,Within
10,0,Within
10,1,Within
10,1,Within
10,0,Across
10,1,Within
10,1,Within
10,1,Across
10,1,Across
10,1,Across
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,1,Within
10,0,Across
10,0,Across
10,1,Across
10,1,Within
10,1,Across
10,1,Across
10,1,Within
10,0,Across
10,1,Across
11,1,Across
11,1,Across
11,1,Across
11,0,Within
11,1,Across
11,1,Within
11,1,Across
11,0,Across
11,1,Across
11,1,Within
11,0,Across
11,1,Within
11,1,Within
11,1,Within
11,1,Across
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,1,Within
11,0,Within
11,1,Across
11,1,Within
11,1,Within
11,1,Across
11,1,Across
11,1,Across
11,1,Across
11,1,Across
11,1,Within
11,1,Within
11,1,Within
11,1,Across
11,1,Across
11,1,Within
11,0,Across
11,1,Across
11,1,Across
11,1,Within
11,1,Within
11,1,Within
11,0,Within
11,1,Across
11,0,Within
11,1,Across
11,1,Across
11,0,Within
11,1,Within
11,0,Across
11,1,Across
11,1,Within
11,1,Across
11,1,Within
11,1,Within
11,1,Within
11,1,Across
11,0,Across
11,1,Across
11,1,Across
11,1,Across
11,1,Across
11,1,Within
12,0,Across
12,1,Across
12,1,Across
12,0,Across
12,1,Across
12,0,Within
12,0,Within
12,1,Within
12,0,Within
12,1,Across
12,0,Within
12,1,Within
12,1,Within
12,1,Across
12,1,Within
12,1,Within
12,1,Across
12,0,Across
12,1,Across
12,0,Within
12,1,Across
12,1,Within
12,1,Across
12,0,Within
12,1,Within
12,1,Across
12,1,Within
12,1,Across
12,1,Within
12,1,Within
12,1,Across
