SubID,Accuracy,Condition
1,1,WB
1,1,BW
1,0,BB
1,0,WW
1,0,BB
1,1,WB
1,1,WW
1,1,WW
1,0,WW
1,1,WB
1,0,WB
1,1,WB
1,0,WW
1,1,BB
1,0,BW
1,0,BB
1,1,WB
1,0,BB
1,0,BB
1,1,WB
1,1,BW
1,0,BB
1,0,WW
1,0,WW
1,1,BB
1,1,WW
1,1,BW
1,0,BW
1,0,WB
1,1,WB
1,0,BW
1,1,WW
1,1,BB
1,0,BB
1,1,BW
1,0,BW
1,1,BW
1,0,BW
1,0,WW
1,1,WB
1,1,BW
1,1,BB
1,1,WW
1,1,WB
1,0,WW
1,0,BB
1,1,WB
1,0,BW
2,1,BW
2,1,BW
2,1,WW
2,1,WB
2,1,WW
2,1,WB
2,1,WW
2,1,WW
2,1,WB
2,1,BW
2,1,BB
2,1,BW
2,1,BB
2,1,BB
2,1,BB
2,1,BB
2,0,BB
2,0,WW
2,0,WB
2,1,BW
2,1,WW
2,1,BB
2,1,WB
2,1,WB
2,0,BB
2,1,WW
2,1,WB
2,1,WW
2,0,WB
2,1,WB
2,1,BB
2,0,BW
2,1,WB
2,1,WW
2,1,WB
2,1,WW
2,1,BW
2,1,WW
2,1,BW
2,0,BB
2,1,BW
2,0,BW
2,0,WB
2,1,BB
2,0,BW
2,0,WW
2,1,BW
2,1,BB
3,1,BW
3,1,BW
3,0,BW
3,0,WB
3,1,WB
3,0,BB
3,0,WW
3,0,WB
3,1,BB
3,1,BW
3,1,WW
3,0,WW
3,0,WB
3,1,BB
3,1,WW
3,1,BW
3,1,BW
3,1,BB
3,0,WB
3,1,BB
3,1,WW
3,0,BW
3,1,WW
3,1,BW
3,0,WW
3,1,WB
3,1,BB
3,1,BB
3,0,WW
3,1,WW
3,0,BW
3,1,BB
3,1,BB
3,1,BW
3,1,BW
3,0,WB
3,1,WB
3,1,BW
3,1,BB
3,0,WW
3,1,WB
3,1,WW
3,1,BB
3,1,WB
3,0,WW
3,1,WB
3,1,BB
3,0,WB
4,1,BB
4,1,WB
4,0,WW
4,1,BW
4,1,WW
4,1,WB
4,1,BW
4,1,BW
4,1,WW
4,1,WB
4,0,BB
4,0,BW
4,1,WW
4,1,BW
4,1,WB
4,0,BB
4,1,BB
4,1,WW
4,0,BW
4,1,BB
4,1,BB
4,1,WW
4,0,BB
4,1,WW
4,0,WB
4,0,BB
4,1,BW
4,1,WW
4,1,BW
4,0,BB
4,1,WW
4,1,WW
4,1,BW
4,1,BB
4,1,BB
4,1,BW
4,1,WB
4,0,BW
4,1,WB
4,1,WW
4,1,WB
4,1,WB
4,0,BB
4,1,WW
4,1,WB
4,0,BW
